,VMTH,DOB,# days signs b4 dx,date of dx,Visit,Age ,Weight,Constipation,Anemia,Fleas,Rads,Other,Died,T4,Frequency,Dosage T4,T3,Dosage T3,Control,Date of sample,Sex,Lab,TT4 (RIA) (nmol),TT4 (RIA) ,TT4 (CLIA) nmol/L,TT4 CLIA ug/dL,TT4 ELISA,Tt4 Truforma ,T3 (RIA),FT4(RIA) pmol/L,FT4 RIA (ng/dL),FT4 (CLIA),FT4 Idexx,FT4d,cTSH (CLIA),TSH Idexx,Truforma TSH,IGF-1,Comments
Newman,742585,"July 20, 2022",,,,204,3.7,,,,,,,125,2,33.78378378,,0,1,2/9/2023,,MSU,,,45,3.50,,,,53,4.12,,,,0.07,,0.061,,
Newman,742585,"July 20, 2022",,,,259,4.4,,,,,,,125,2,28.40909091,,0,1,4/5/2023,,MSU,,,44,3.42,,,,51,3.96,,,,0.01,,,,
Newman,742585,"July 20, 2022",,,,350,5.2,,,,,,,125,2,24.03846154,,0,3,7/5/2023,,MSU,,,84,6.53,,,,80,6.22,,,,0.06,,,,
Newman,742585,"July 20, 2022",,,,393,5.5,,,,,,,75,2,13.63636364,,0,2,8/17/2023,,MSU,,,22,1.71,,,,42,3.26,,,,0.56,,,,
Newman,742585,"July 20, 2022",,,,497,5.5,,,,,10,,200,1,36.36363636,,0,1,11/29/2023,,MSU,,,42,3.26,,,0.8,38,2.95,,,,0.03,,,,
Newman,742585,"July 20, 2022",,,,685,6.05,,,,,,,200,1,33.05785124,,0,4,6/4/2024,MC,MSU,,,57,4.43,,,1.3,50,3.89,,,,0.41,,0.169,,
Newman,742585,"July 20, 2022",,,,789,6.6,,,,,,,200,1,30.3030303,,0,4,9/16/2024,MC,MSU,,,85,6.60,,,1.5,83,6.45,,,,0.08,,,,
Newman,742585,"July 20, 2022",,,,840,6.6,,,,,,,100,1,15.15151515,,0,5,11/6/2024,MC,MSU,,,32,2.49,,,0.4,30,2.33,,,,3.42,,,,
Newman,742585,"July 20, 2022",,,,939,6.8,,,,,,,150,1,22.05882353,,0,4,2/13/2025,MC,MSU,,,70,5.44,,,0.5,49,3.81,,,,0.12,,,,
Newman,742585,"July 20, 2022",,,,974,6.7,,,,,,,125,1,18.65671642,,0,4,3/20/2025,MC,MSU,,,74,5.75,,,0.6,69,5.36,,,,0.17,,,,
Newman,742585,"July 20, 2022",,,,1035,6.7,,,,,,,100,1,14.92537313,,0,2,5/20/2025,MC,MSU,,,7,0.54,,,0.4,7,0.54,,,,>12,,,,
Newman,742585,"July 20, 2022",,,,1111,6.7,,,,,,,125,1,18.65671642,,0,5,8/4/2025,MC,MSU,,,19,1.48,,,0.5,31,2.41,,,,1.42,,,,
Newman,742585,"July 20, 2022",,,,1160,6.7,,,,,,,125,1,18.65671642,,0,5,9/22/2025,MC,MSU,,,36,2.80,,,0.4,44,3.42,,,,4.54,,,,
Newman,742585,"July 20, 2022",,,,1196,6.7,,,,,,,125,1,18.65671642,2.5,0.3731343284,5,10/28/2025,MC,MSU,,,23,1.79,,,0.6,27,2.10,,,,0.57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chunk,742493,"August 2, 2022",35,,1,22,0.39,2,2,2,3,11,,,,0,,,,8/24/2022,M,MSU,,,0,0.00,,0.67,0.2,4,0.31,,,,5.56,,>1.50,,
Chunk,742493,8/2/2022,,,,58,0.49,1,2,,,,,,,0,,,,9/29/2022,M,MSU,,,0,0.00,0.60,0.83,,4,0.31,,<0.3,,1.99,1.46,0.337,,
Chunk,742493,8/2/2022,,,,72,0.75,1,,,,,,25,2,33.33333333,0,0,2,10/13/2022,M,MSU,,,33,2.56,,2.47,,31,2.41,,,,1.77,,0.442,,
Chunk,742493,8/2/2022,,,,85,1,2,1,,,,,37.5,2,37.5,0,0,2,10/26/2022,M,MSU,,,32,2.49,2.10,3.04,,33,2.56,,1.3,,1.44,1.31,0.429,,
Chunk,742493,8/2/2022,,,,100,1.3,,,,,,,50,2,38.46153846,0,0,2,11/10/2022,M,MSU,,,26,2.02,,2.26,,25,1.94,,,,1.67,,0.41,,
Chunk,742493,8/2/2022,,,,120,1.45,,,,,,,75,2,51.72413793,0,0,1,11/30/2022,M,MSU,,,58,4.51,,,,53,4.12,,,,0.27,,0.072,,
Chunk,742493,8/2/2022,,,,141,2.4,,,,,,,75,2,31.25,0,0,1,12/21/2022,M,MSU,,,44,3.42,,5.39,,44,3.42,,,,0.18,,0.062,,
Chunk,742493,8/2/2022,,,,164,2.7,,,,,,,75,2,27.77777778,0,0,1,1/13/2023,M,MSU,,,51,3.96,,4.17,,48,3.73,,,,0.04,,0.04,,
Chunk,742493,8/2/2022,,,,191,3.2,,,,,,,75,2,23.4375,0,0,1,2/9/2023,MC,MSU,,,37,2.87,,,,37,2.87,,,,0.15,,0.113,,
Chunk,742493,8/2/2022,,,,246,4,,,,,,,75,2,18.75,0,0,1,4/5/2023,MC,MSU,,,34,2.64,,,,34,2.64,,,,0.06,,,,
Chunk,742493,8/2/2022,,,,358,4.7,,,,,,,75,2,15.95744681,0,0,1,7/26/2023,MC,MSU,,,40,3.11,,,1.5,60,4.66,,,,0.26,,,,
Chunk,742493,8/2/2022,,,,561,4.2,,,,,,,75,2,17.85714286,0,0,1,2/14/2024,MC,MSU,,,39,3.03,,,1.1,38,2.95,,,,0.12,,,,
Chunk,742493,8/2/2022,,,,794,4.2,,,,,,,75,2,17.85714286,0,0,,10/4/2024,MC,Idexx,,,,,2.50,,,,,,,,,,,,
Chunk,742493,8/2/2022,,,,1080,4.4,,,,,2,,150,1,34.09090909,0,0,3,7/17/2025,MC,MSU,,,56,4.35,,,0.5,47,3.65,,,,0.06,,,,
Chunk,742493,8/2/2022,,,,1150,4.5,,,,,2,,125,1,27.77777778,0,0,1,9/25/2025,MC,MSU,,,40,3.11,,,0.4,38,2.95,,,,0.14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aretha,744186,"August 12, 2022",,,1,31,0.23,2,3,3,3,,,,,,,,,9/12/2022,F,Idexx,,,,,<0.4,,,,,,,,,,,,
Aretha,744186,"August 12, 2022",,,,47,0.331,,,,,,,50,2,151.0574018,0,0,3,9/28/2022,F,Truforma,,,,,,21.00,,,,,,,,,<0.008,,
Aretha,744186,"August 12, 2022",,,,80,1.1,,,,,,,12.5,2,11.36363636,0,0,2,10/31/2022,F,MSU,,,12,0.93,,1.68,,15,1.17,,,,6.78,,1.07,,
Aretha,744186,"August 12, 2022",,,,110,1.5,,,,,,,50,2,33.33333333,0,0,2,11/30/2022,F,MSU,,,32,2.49,,,,39,3.03,,,,2.9,,,,
Aretha,744186,"August 12, 2022",,,,144,2.2,,,,,1,,75,2,34.09090909,0,0,2,1/3/2023,F,MSU,,,52,4.04,,6.85,,60,4.66,,,,0.63,,0.401,,
Aretha,744186,"August 12, 2022",,,,179,2.5,,,,,1,,75,2,30,0,0,2,2/7/2023,F,MSU,,,34,2.64,,,,39,3.03,,,,0.24,,0.206,,
Aretha,744186,"August 12, 2022",,,,215,2.7,,,,,1,,75,2,27.77777778,0,0,2,3/15/2023,F,MSU,,,56,4.35,,,,47,3.65,,,,0.27,,0.022,,
Aretha,744186,"August 12, 2022",,,,278,3.7,,,,,1,,75,2,20.27027027,0,0,1,5/17/2023,F,MSU,,,35,2.72,,,1.2,34,2.64,,,,1.27,,0.446,,
Aretha,744186,"August 12, 2022",,,,363,4.8,,,,,1,,125,2,26.04166667,0,0,3,8/10/2023,F,MSU,,,81,6.29,,,,83,6.45,,,,0.06,,,,
Aretha,744186,"August 12, 2022",,,,451,4.2,,,,,1,,100,2,23.80952381,0,0,1,11/6/2023,F,MSU,,,33,2.56,,,1,48,3.73,,,,0.01,,,,
Aretha,744186,"August 12,2022",,,,815,4.2,,,,,1,,100,2,23.80952381,0,0,,11/4/2024,FS,IDEXX,,,,,3.50,,,,,,,,,,,,
Aretha,744186,"August 12, 2022",,,,1172,4.2,,,,,1,,100,2,23.80952381,0,0,,10/27/2025,FS,IDEXX,,,,,2.60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Ozzy,744301,"July 25, 2022",57,,1,85,0.36,1,3,3,2,,,,,0,0,0,,10/18/2022,M,DVM,,,,,<0.4,,,,,,,,,,,,
Ozzy,744301,7/25/2022,,,,101,0.4,1,,,2,,,50,1,125,0,0,3,11/03/2022,M,MSU,,,126,9.79,,13.90,,77,5.98,,,,0,,<0.008,,
Ozzy,744301,7/25/2022,,,,128,0.404,,,,,,,25,2,61.88118812,0,0,2,11/30/2022,M,MSU,,,27,2.10,,,,15,1.17,,,,6.06,,,,
Ozzy,744301,7/25/2022,,,,163,0.695,,,,,,,37.5,2,53.95683453,0,0,2,01/04/2023,M,MSU,,,46,3.57,,3.16,,42,3.26,,,,0.02,,<0.008,,
Ozzy,744301,7/25/2022,,,,212,1.535,,,,,,,50,2,32.5732899,0,0,2,02/22/2023,M,MSU,,,31,2.41,,,0.7,28,2.18,,,,>12,,>1.5,,
Ozzy,744301,7/25/2022,,,,240,2.3,,,,,,,75,2,32.60869565,0,0,2,03/22/2023,M,MSU,,,33,2.56,,,1.2,30,2.33,,,,>12,,>1.5,,
Ozzy,744301,7/25/2022,,,,281,3.8,,,,,,,125,2,32.89473684,0,0,2,05/02/2023,M,MSU,,,31,2.41,,,1.1,38,2.95,,,,9.51,,0.774,,
Ozzy,744301,7/25/2022,,,,311,4.3,,,,,,,200,2,46.51162791,0,0,5,6/1/2023,M,MSU,,,78,6.06,,,1.7,45,3.50,,,,0.49,,,,
Ozzy,744301,7/25/2022,,,,338,4.14,,,,,,,200,2,48.30917874,0,0,5,6/28/2023,M,MSU,,,69,5.36,,,,63,4.90,,,,0.43,,0.149,,
Ozzy,744301,7/25/2022,,,,359,4.37,,,,,,,200,2,45.76659039,0,0,3,7/19/2023,M,MSU,,,153,11.89,,,2.2,107,8.31,,,,0.08,,,,
Ozzy,744301,7/25/2022,,,,400,4.6,,,,,,,150,2,32.60869565,0,0,4,8/29/2023,M,MSU,,,69,5.31,,,1.3,65,5.05,,,,4.46,,,,
Ozzy,744301,7/25/2022,,,,442,4.7,,,,,,,150,2,31.91489362,0,0,4,10/10/2023,M,MSU,,,72,5.54,,,1.5,67,5.21,,,,1.22,,,,
Ozzy,744301,7/25/2022,,,,567,4.75,,,,,,,150,2,31.57894737,0,0,4,2/12/2024,MC,MSU,,,71,5.47,,,1.2,72,5.59,,,,1.2,,,,
Ozzy,744301,7/25/2022,,,,673,4.6,,,,,,,150,2,32.60869565,0,0,4,5/28/2024,MC,MSU,,,75,5.78,,,1.3,63,4.90,,,,0.6,,0.175,,
Ozzy,744301,7/25/2022,,,,814,4.6,,,,,,,200,1,43.47826087,0,0,4,10/16/2024,MC,MSU,,,62,4.77,,,0.5,63,4.90,,,,1.7,,,,
Ozzy,744301,7/25/2022,,,,917,4.6,,,,,,,200,1,43.47826087,0,0,4,1/27/2025,MC,MSU,,,60,4.62,,,0.5,59,4.58,,,,2.04,,,,
Ozzy (oral T3 started),744301,7/25/2022,,,,981,4.6,,,,,,,100,1,21.73913043,2.5,0.5434782609,4,4/1/2025,MC,MSU,,,53,4.08,,,0.6,57,4.43,,,,0.67,,,,
Ozzy,744301,7/25/2022,,,,1013,4.8,,,,,,,50,1,10.41666667,5,1.041666667,2,5/3/2025,MC, MSU,,,17,1.31,,,0.4,17,1.32,,,,>12.00,,,,
Ozzy,744301,7/25/2022,,,,1064,4.8,,,,,,,75,1,15.625,5,1.041666667,5,6/23/2025,MC,MSU,,,46,3.54,,,0.7,44,3.42,,,,1.7,,,,
Ozzy,744301,7/25/2022,,,,1121,4.9,,,,,,,75,1,15.30612245,10,2.040816327,5,8/19/2025,MC,MSU,,,21,1.62,,,0.9,23,1.79,,,,1.64,,,,
Ozzy,744301,7/25/2022,,,,,,,,,,,,75,1,,12.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,753294,"April 27, 2023",0,6/1/2023,1,35,0.474,1,2,2,3,13,,,,0,,,,6/1/2023,M,UCD,,,,<0.5,,0.91,,,,<0.3,,,12,,0.851,,
Tomato,753294,4/27/2023,,6/1/2023,,46,0.607,,,,,,,25,2,41.18616145,0,0,2,6/12/2023,,MSU,,,23,1.79,,,,33,2.56,,,,0.87,,0.052,,
Tomato,753294,4/27/2023,,6/1/2023,,46,0.607,,2,,,,,25,2,41.18616145,0,0,2,6/12/2023,,UCD,,,,2.00,,,,,,0.83,,,0.66,,,,
Tomato,753294,4/27/2023,,6/1/2023,,70,1,,,,,,,50,2,50,0,0,2,7/6/2023,,UCD,,,,2.30,,1.57,,,,1.27,,,3.64,,0.255,,
Tomato,753294,4/27/2023,,6/1/2023,,83,1.33,,,,,,,75,2,56.39097744,0,0,1,7/19/2023,,UCD,,,,3.30,,,,,,1.91,,,<0.03,,,,
Tomato,753294,4/27/2023,,,,166,2.7,,,,,,,125,2,46.2962963,0,0,1,10/10/2023,,UCD,,,,3.60,,,,,,2.14,,,0.06,,,,
Tomato,753294,4/27/2023,,,,221,3.7,,,,,,,125,2,33.78378378,0,0,1,12/4/2023,,MSU,,,54,4.20,,,1.2,54,4.20,,,,0.03,,,,
Tomato,753294,4/27/2023,,,,313,4.3,,,,,,,125,2,29.06976744,0,0,1,3/5/2024,MC,MSU,,,39,3.03,,,1.4,47,3.65,,,,0.09,,,,
Tomato,753294,4/27/2023,,,,427,4.4,,,,,,,200,1,45.45454545,0,0,1,6/27/2024,MC,MSU,,,29,2.25,,,,27,2.10,,,,0.11,,,,
Tomato,753294,4/27/2023,,,,622,5.2,,,,,,,200,1,38.46153846,0,0,3,"January 8, 2025",MC,MSU,,,63,4.90,,,0.4,51,3.96,,,,0.13,,,,
Tomato,753294,4/27/2023,,,,676,5.2,,,,,,,150,1,28.84615385,0,0,3,"March 3, 2025",MC,MSU,,,64,4.97,,,0.5,53,4.12,,,,0.08,,,,
Tomato,753294,4/27/2023,,,,718,5.3,,,,,,,100,1,18.86792453,0,0,5,"April 14, 2025",MC,MSU,,,39,3.03,,,0.6,28,2.18,,,,0.68,,,,
Tomato,753294,4/27/2023,,,,768,5.2,,,,,,,100,1,19.23076923,0,0,2,"June 3, 2025",MC,MSU,,,24,1.86,,,0.3,24,1.86,,,,2.74,,,,
Tomato,753294,4/27/2023,,,,811,5.2,,,,,,,125,1,24.03846154,0,0,4,"July 16, 2025",MC,MSU,,,53,4.12,,,0.5,44,3.42,,,,0.77,,,,
Tomato,753294,4/27/2023,,,,854,5.2,,,,,,,125,1,24.03846154,0,0,5,"August 28, 2025",MC,MSU,,,32,2.49,,,0.4,35,2.72,,,,0.68,,,,
Tomato,753294,4/27/2023,,,,922,5.2,,,,,,,125,1,24.03846154,2.5,0.4807692308,1,"November 4, 2025",MC,MSU,,,44,3.42,,,0.6,35,2.72,,,,0.16,,,,
Tomato,753294,4/27/2023,,,,1020,5.4,,,,,,,125,1,23.14814815,2.5,0.462962963,,"February 10, 2026",MC,MSU,,,48,3.73,,,0.8,40,3.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitten/Hedgie,754360,"May 23, 2023",0,6/21/2023,1,29,0.4,2,1,1,2,12,,,,,,,,"June 21, 2023",F,UCD,,,,<0.5,,,,,,<0.3,,,>12,,>1.5,,
Hedgie,754360,5/23/2023,,6/21/2023,,50,0.577,,,,,,,25,2,43.32755633,0,0,2,"July 12, 2023",F,UCD,,,,<0.5,,2.00,,,,<0.3,,,10.3,,1.17,,
Hedgie,754360,5/23/2023,,6/21/2023,,113,1.9,,,,,,,75,2,39.47368421,0,0,3,"September 13, 2023",F,UCD,,,,7.00,,,,,,2.9,,,0.09,,,,
Hedgie,754360,5/23/2023,,6/22/2023,,140,2.3,,,,,,,75,2,32.60869565,0,0,3,"October 10, 2023",F,UCD,,,,5.00,,,,,,2.47,,,0.13,,,,
Hedgie,754360,5/23/2023,,6/22/2023,,195,3.2,,,,,,,75,2,23.4375,0,0,1,"December 4, 2023",FS,MSU,,,45,3.50,,,1.3,54,,,,,0.03,,,,
Mackere/Hedgie,754360,5/23/2023,,,,301,4.2,,,,,,,75,2,17.85714286,0,0,1,"March 19, 2024",FS,MSU,,,53,4.12,,,1.3,66,5.13,,,,0.03,,,,
Mackerel/Hedgie,754360,5/23/2023,,,,388,4.2,,,,,,,75,2,17.85714286,0,0,1,"June 14, 2024",FS,MSU,,,42,3.26,,,,41,3.19,,,,"0,03",,,,
Mackerel,754360,5/23/2023,,,,576,4.3,,,,,,,75,2,17.44186047,0,0,1,"December 19, 2024",FS,MSU,,,48,3.73,,,0.5,39,3.03,,,,0.16,,,,
Mackerel,754360,5/23/2023,,,,654,4.4,,,,,,,125,1,28.40909091,0,0,3,"March 7, 2025",FS,MSU,,,48,3.73,,,0.4,53,4.12,,,,0.11,,,,
Mackerel,754360,5/23/2023,,,,693,4.3,,,,,,,100,1,23.25581395,0,0,3,"April 15, 2025",FS,MSU,,,70,5.44,,,0.5,67,5.21,,,,0.07,,,,
Mackerel,754360,5/23/2023,,,,735,4.4,,,,,,,50,1,11.36363636,0,0,1,"May 27, 2025",FS,MSU,,,31,2.41,,,0.3,37,2.87,,,,0.25,,,,
Mackerel,754360,5/23/2023,,,,891,4.3,,,,,,,50,1,11.62790698,0,0,2,"October 30, 2025",FS,MSU,,,41,3.19,,,0.3,44,3.42,,,,1.21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleo,754770,"May 1, 2023",,"July 5, 2025",1,65,0.66,1,1,3,3,,,,,,,,,"July 5, 2023",F,Idexx,,,,,,,,,,,<0.3,,6.52,,,,
Cleo,754770,"May 1, 2023",,"July 5, 2023",,72,0.66,1,,,,6,,50,2,75.75757576,,,2,"July 12, 2023",F,UCD,,,,3.10,,,,,,2.07,,,2.17,,1.24,,
Cleo,754770,5/1/2023,,"July 5, 2023",,112,1.7,,,,,8,,75,2,44.11764706,0,0,1,"August 21, 2023",F,UCD,,,,4.20,,,,,,1.97,,,0.09,,,,
Cleo,754770,5/1/2023,,,,158,2.8,,,,,,,100,2,35.71428571,0,0,1,"October 6, 2023",F,UCD,,,,3.70,,,,,,1.81,,,0.12,,,,
Cleo,754770,5/1/2023,,,,218,3.8,,,,,,,100,2,26.31578947,0,0,1,"December 5, 2023",FS,MSU,,,55,4.27,,,,58,4.51,,,,0.02,,,,
Cleo,754770,5/1/2023,,,,308,4.6,,,,,,,100,2,21.73913043,0,0,1,"March 4, 2024",FS,MSU,,,53,4.12,,,1.6,65,5.05,,,,0.08,,,,
Cleo,754770,5/1/2023,,,,386,4.77,,,,,,,100,2,20.96436059,0,0,1,"May 21, 2024",FS,MSU,,,43,3.34,,,1.1,47,3.65,,,,0.06,,,,
Cleo,754770,5/1/2023,,,,735,5,,,,,,,200,1,40,0,0,1,"May 5, 2025",FS,MSU,,,44,3.42,,,0.5,33,2.56,,,,0.12,,,,
Cleo,754770,5/1/2023,,,,930,5.3,,,,,,,200,1,37.73584906,0,0,1,"November 16, 2025",FS,MSU,,,36,2.80,,,0.3,32,2.49,,,,0.08,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden,754795,"May 2, 2023",26,"July 20, 2023",1,79,1,2,1,2,3,,,,,,,,,"July 20, 2023",M,UCD,,,,<0.5,,1.08,,,,<0.3,,,9.97,,0.286,,
Jaden,754795,"May 2, 2023",,"July 20, 2023",,101,1.3,,,,,,,75,2,57.69230769,0,0,3,"August 11, 2023",M,UCD,,,,5.90,,,,,,4.17,,,<0.03,,,,
Jaden,754795,"May 2, 2023",,,,168,2.3,,,,,,,100,2,43.47826087,0,0,1,"October 17, 2023",MC,UCD,,,,4.30,,,,,,2.52,,,0.06,,,,
Jaden,754795,"May 2, 2023",,,,216,2.7,,,,,,,100,2,37.03703704,0,0,1,"December 4, 2023",M,MSU,,,37,2.87,,,0.6,35,2.72,,,,0.03,,,,
Jaden,754795,"May 2, 2023",,,,307,2.7,,,,,,,100,2,37.03703704,0,0,1,"March 4, 2024",MC,MSU,,,25,1.94,,,0.5,27,2.10,,,,0.13,,,,
Jaden,754795,"May 2, 2023",,,,401,3.7,,,,,,,100,2,27.02702703,0,0,1,"June 6, 2024",MC,MSU,,,44,3.42,,,0.7,31,2.41,,,,0,,,,
Jaden,754795,"May 2, 2023",,,,630,4.4,,,,,,,100,2,22.72727273,0,0,3,"January 21, 2025",MC,MSU,,,53,4.12,,,0.4,32,2.49,,,,0.02,,,,
Jaden,754795,"May 2, 2023",,,,672,4.4,,,,,,,150,1,34.09090909,0,0,1,"March 4, 2025",MC,MSU,,,25,1.94,,,0.5,27,2.10,,,,0.13,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Button,756023,"May 27, 2023",13,"July 23, 2023",1,57,0.35,1,2,2,3,,,,,,,,,"July 23, 2023",M,UCD,,,,<0.5,,<0.47,,,,<0.3,,,>12,,>1.5,,
